trial,seed,masked_energy,masked_cut,nomask_energy,nomask_cut
1,42,-3968.0,11572.0,19176.0,0.0
2,43,-3896.0,11536.0,19176.0,0.0
3,44,-3920.0,11548.0,19176.0,0.0
4,45,-3896.0,11536.0,19176.0,0.0
5,46,-3888.0,11532.0,19176.0,0.0
6,47,-3930.0,11553.0,19176.0,0.0
7,48,-3924.0,11550.0,19176.0,0.0
8,49,-3994.0,11585.0,19176.0,0.0
9,50,-3960.0,11568.0,19176.0,0.0
10,51,-3896.0,11536.0,19176.0,0.0
11,52,-3930.0,11553.0,19176.0,0.0
12,53,-3956.0,11566.0,19176.0,0.0
13,54,-3868.0,11522.0,19176.0,0.0
14,55,-3886.0,11531.0,19176.0,0.0
15,56,-3890.0,11533.0,19176.0,0.0
16,57,-3862.0,11519.0,19176.0,0.0
17,58,-3978.0,11577.0,19176.0,0.0
18,59,-3900.0,11538.0,19176.0,0.0
19,60,-3900.0,11538.0,19176.0,0.0
20,61,-3906.0,11541.0,19176.0,0.0
21,62,-3982.0,11579.0,19176.0,0.0
22,63,-3898.0,11537.0,19176.0,0.0
23,64,-3882.0,11529.0,19176.0,0.0
24,65,-3874.0,11525.0,19176.0,0.0
25,66,-3898.0,11537.0,19176.0,0.0
26,67,-3880.0,11528.0,19176.0,0.0
27,68,-3914.0,11545.0,19176.0,0.0
28,69,-3926.0,11551.0,19176.0,0.0
29,70,-3886.0,11531.0,19176.0,0.0
30,71,-3878.0,11527.0,19176.0,0.0
