Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,9393.4,10026,8650,408.56638247522136,4.656917354244709,0.01448361,1.448361,80.81039229181005,86.25258086717137,295.7676086425781,4.112027168273926,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9531.9,9677,8952,216.23929645957816,4.656917354244709,0.01448361,1.448361,82.00189263592567,83.25017205781143,299.82529602050784,3.8391337394714355,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9366.4,10043,8608,521.724746500596,4.656917354244709,0.01448361,1.448361,80.57811424638679,86.3988300068823,309.10723266601565,4.004539489746094,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9286.6,10090,8307,581.6832280354813,4.656917354244709,0.01448361,1.448361,79.89160357880247,86.80316586373021,297.7360336303711,3.839157819747925,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9293.7,9953,8366,535.8304147147055,4.656917354244709,0.01448361,1.448361,79.95268410185824,85.62456985547144,284.82315521240236,3.628281354904175,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9323.6,10022,8819,365.70060614296676,4.656917354244709,0.01448361,1.448361,80.20991052993806,86.21816930488644,301.9572814941406,3.8145878314971924,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9402.0,9905,8479,473.0811534797997,4.656917354244709,0.01448361,1.448361,80.88437715072264,85.2116311080523,319.5967987060547,4.034579515457153,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9372.7,9812,8770,310.0623772368679,4.656917354244709,0.01448361,1.448361,80.63231245698556,84.41156228492774,301.23521575927737,3.8859872817993164,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9666.1,10344,8770,399.1077409533532,4.656917354244709,0.01448361,1.448361,83.15640055058499,88.98830006882312,293.75394134521486,3.7870023250579834,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9489.5,9788,8724,308.05888686706925,4.656917354244709,0.01448361,1.448361,81.63713007570544,84.20509291121817,284.11644134521487,3.693193197250366,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9194.6,9899,8591,456.5445578838207,4.656917354244709,0.01448361,1.448361,79.10013764624914,85.16001376462492,293.19977416992185,3.7461280822753906,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9338.8,9884,8601,532.8680887424204,4.656917354244709,0.01448361,1.448361,80.34067446662077,85.03097040605644,305.95159912109375,3.9027912616729736,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9477.0,10026,8980,333.0652255106264,4.656917354244709,0.01448361,1.448361,81.52959394356503,86.25258086717137,304.3862075805664,3.867050886154175,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9240.7,9954,8625,509.09485036353163,4.656917354244709,0.01448361,1.448361,79.49673090158294,85.63317274604267,290.31810455322267,3.7812838554382324,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9501.9,10211,8647,416.0516661292067,4.656917354244709,0.01448361,1.448361,81.74380591878871,87.84411562284927,303.53284454345703,3.886441230773926,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9332.0,9921,8657,430.42124069850973,4.656917354244709,0.01448361,1.448361,80.28217481073641,85.34927735719202,291.50193786621094,3.7662715911865234,4,0.5,0.1,0.1,0.1
