Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,2865.8,3189,2387,261.66976643599213,4.656917354244709,27.048052,43.32672,24.654163799036475,27.434618031658637,71.64730224609374,1.0756564140319824,4,0.1,0.1,0.1,0.1
G1,800,unipolar,random,11624,6837.8,7141,6572,185.49082037784092,4.656917354244709,27.048052,43.32672,58.82484514796972,61.43324156916724,67.33445816040039,1.0237154960632324,4,0.3,0.1,0.1,0.1
G1,800,unipolar,random,11624,8621.5,8865,8479,139.96289190750207,4.656917354244709,27.048052,43.32672,74.16982105987611,76.26462491397109,73.86653671264648,1.0975360870361328,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,11415.2,11501,11357,41.7819737845561,4.656917354244709,27.048052,43.32672,98.20371644872677,98.94184445973848,68.15479736328125,1.0448970794677734,4,0.7,0.1,0.1,0.1
G1,800,unipolar,random,11624,11378.3,11424,11293,40.18581839405538,4.656917354244709,27.048052,43.32672,97.88626978664831,98.2794218857536,67.6903923034668,1.0263233184814453,4,0.9,0.1,0.1,0.1
G1,800,unipolar,random,11624,2728.2,3119,2252,289.65028722390196,4.656917354244709,27.048052,43.32672,23.470406056434964,26.832415691672402,67.59513206481934,1.0585906505584717,4,0.1,0.1,0.1,0.2
G1,800,unipolar,random,11624,6685.9,7166,6320,250.9574775844616,4.656917354244709,27.048052,43.32672,57.51806607019959,61.648313833448036,66.47362251281739,1.0052850246429443,4,0.3,0.1,0.1,0.2
G1,800,unipolar,random,11624,8794.0,11418,8092,938.715197609063,4.656917354244709,27.048052,43.32672,75.65381968341363,98.22780454232623,72.1519386291504,1.0859260559082031,4,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,11432.4,11506,11389,33.6986646619714,4.656917354244709,27.048052,43.32672,98.35168616655196,98.98485891259463,68.0234878540039,1.0349562168121338,4,0.7,0.1,0.1,0.2
G1,800,unipolar,random,11624,11399.5,11445,11365,23.83391607679182,4.656917354244709,27.048052,43.32672,98.06865106675843,98.46008258774948,68.21733169555664,1.0461773872375488,4,0.9,0.1,0.1,0.2
G1,800,unipolar,random,11624,2941.3,3439,2502,262.79821156164667,4.656917354244709,27.048052,43.32672,25.30368203716449,29.58534067446662,66.52566642761231,1.027745008468628,4,0.1,0.1,0.1,0.3
G1,800,unipolar,random,11624,6892.2,7178,6618,176.10653341404205,4.656917354244709,27.048052,43.32672,59.29284239504474,61.75154852030282,68.57245330810547,1.0403778553009033,4,0.3,0.1,0.1,0.3
G1,800,unipolar,random,11624,8875.0,11484,8335,930.3791341884948,4.656917354244709,27.048052,43.32672,76.35065381968342,98.79559532002753,65.92378234863281,1.0345690250396729,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11416.2,11493,11373,37.38924384840586,4.656917354244709,27.048052,43.32672,98.212319339298,98.87302133516862,72.3851104736328,1.07763671875,4,0.7,0.1,0.1,0.3
G1,800,unipolar,random,11624,11418.1,11462,11372,31.869351351346257,4.656917354244709,27.048052,43.32672,98.22866483138334,98.60633172746043,73.31796417236328,1.0964314937591553,4,0.9,0.1,0.1,0.3
G1,800,unipolar,random,11624,3242.1,3623,2797,275.7254874770275,4.656917354244709,27.048052,43.32672,27.891431520991052,31.168272539573298,72.22968292236328,1.088932991027832,4,0.1,0.1,0.2,0.1
G1,800,unipolar,random,11624,6608.9,7087,6250,293.81568296392135,4.656917354244709,27.048052,43.32672,56.855643496214725,60.968685478320715,65.89324645996093,1.0095224380493164,4,0.3,0.1,0.2,0.1
G1,800,unipolar,random,11624,8545.2,8745,8285,164.24764500256583,4.656917354244709,27.048052,43.32672,73.51342050929114,75.23227804542326,67.22234535217285,1.0230305194854736,4,0.5,0.1,0.2,0.1
G1,800,unipolar,random,11624,11424.2,11492,11371,32.960582519124266,4.656917354244709,27.048052,43.32672,98.28114246386787,98.86441844459739,63.723619079589845,0.9782423973083496,4,0.7,0.1,0.2,0.1
G1,800,unipolar,random,11624,11403.5,11463,11333,33.81403390441444,4.656917354244709,27.048052,43.32672,98.10306262904336,98.61493461803165,66.99415969848633,1.025313138961792,4,0.9,0.1,0.2,0.1
G1,800,unipolar,random,11624,3075.1,3408,2620,245.24883055559897,4.656917354244709,27.048052,43.32672,26.45474879559532,29.31865106675843,68.61729927062989,1.0271174907684326,4,0.1,0.1,0.2,0.2
G1,800,unipolar,random,11624,6557.8,7163,6243,279.4545480833054,4.656917354244709,27.048052,43.32672,56.41603578802478,61.622505161734345,66.45592346191407,1.0283122062683105,4,0.3,0.1,0.2,0.2
G1,800,unipolar,random,11624,8666.5,8964,8359,187.2741602867601,4.656917354244709,27.048052,43.32672,74.55695113558156,77.11631108052306,67.72049331665039,1.0257525444030762,4,0.5,0.1,0.2,0.2
G1,800,unipolar,random,11624,11388.2,11429,11338,34.84505384954625,4.656917354244709,27.048052,43.32672,97.97143840330351,98.32243633860978,70.6692901611328,1.070425271987915,4,0.7,0.1,0.2,0.2
G1,800,unipolar,random,11624,11407.3,11433,11379,19.652819984249927,4.656917354244709,27.048052,43.32672,98.13575361321404,98.3568479008947,77.47031097412109,1.1219468116760254,4,0.9,0.1,0.2,0.2
G1,800,unipolar,random,11624,3083.1,3307,2822,176.8153148218659,4.656917354244709,27.048052,43.32672,26.523571920165175,28.449759119064005,70.91143951416015,1.127697229385376,4,0.1,0.1,0.2,0.3
G1,800,unipolar,random,11624,6931.8,7295,6431,268.22163306572503,4.656917354244709,27.048052,43.32672,59.63351686166552,62.758086717136955,69.44981384277344,1.0937442779541016,4,0.3,0.1,0.2,0.3
G1,800,unipolar,random,11624,8622.2,8806,8348,141.35125672514474,4.656917354244709,27.048052,43.32672,74.17584308327599,75.7570543702684,65.76756477355957,1.0087382793426514,4,0.5,0.1,0.2,0.3
G1,800,unipolar,random,11624,11411.2,11453,11243,63.84147032559113,4.656917354244709,27.048052,43.32672,98.16930488644185,98.52890571231934,74.4507064819336,1.1169071197509766,4,0.7,0.1,0.2,0.3
G1,800,unipolar,random,11624,11413.1,11474,11375,36.93673269554608,4.656917354244709,27.048052,43.32672,98.18565037852719,98.7095664143152,64.70461349487304,1.0192921161651611,4,0.9,0.1,0.2,0.3
G1,800,unipolar,random,11624,3098.2,3709,2426,353.63440003609503,4.656917354244709,27.048052,43.32672,26.653475567790778,31.908121128699243,68.78712196350098,1.0470473766326904,4,0.1,0.1,0.3,0.1
G1,800,unipolar,random,11624,6781.0,7182,6331,282.6143819569147,4.656917354244709,27.048052,43.32672,58.336200963523744,61.78596008258775,73.26632156372071,1.0854065418243408,4,0.3,0.1,0.3,0.1
G1,800,unipolar,random,11624,8568.9,8874,8145,194.62468154544703,4.656917354244709,27.048052,43.32672,73.71730901582931,76.34205092911218,72.4372344970703,1.0769860744476318,4,0.5,0.1,0.3,0.1
