Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,10828.1,11567,9080,994.1525089799408,4.656917354244709,27.048052,43.32672,93.1529593943565,99.50963523743978,82.81712646484375,1.2995538711547852,2,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,11401.0,11458,11345,37.69173207305107,4.656917354244709,27.048052,43.32672,98.08155540261528,98.5719201651755,76.23593635559082,1.249751329421997,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,11406.2,11462,11366,33.99280969721554,4.656917354244709,27.048052,43.32672,98.12629043358568,98.60633172746043,75.77059783935547,1.2709355354309082,8,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,11387.7,11422,11354,21.57184378870857,4.656917354244709,27.048052,43.32672,97.96713695801789,98.26221610461116,78.47286415100098,1.3588929176330566,16,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,10672.1,11460,7652,1273.9536403565783,4.656917354244709,27.048052,43.32672,91.81090846524432,98.58912594631796,84.87751922607421,1.41733717918396,2,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,11393.8,11463,11336,35.11504900561391,4.656917354244709,27.048052,43.32672,98.01961459050241,98.61493461803165,79.34625930786133,1.2558550834655762,4,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,11386.1,11453,11295,48.99761898976997,4.656917354244709,27.048052,43.32672,97.95337233310393,98.52890571231934,86.41154174804687,1.3638994693756104,8,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,11405.1,11453,11354,37.14969717238621,4.656917354244709,27.048052,43.32672,98.11682725395733,98.52890571231934,88.30933456420898,1.3843023777008057,16,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,10744.7,11529,9612,922.673055132026,4.656917354244709,27.048052,43.32672,92.43547832071576,99.18272539573297,103.90606994628907,1.645507574081421,2,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11410.4,11453,11374,29.010342983149993,4.656917354244709,27.048052,43.32672,98.16242257398486,98.52890571231934,106.90323333740234,1.6048474311828613,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11382.6,11418,11343,24.676574586707396,4.656917354244709,27.048052,43.32672,97.92326221610462,98.22780454232623,88.67143630981445,1.4148368835449219,8,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11415.2,11503,11339,53.50140185079266,4.656917354244709,27.048052,43.32672,98.20371644872677,98.95905024088094,85.45442199707031,1.3238236904144287,16,0.5,0.1,0.1,0.3
