Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,9524.8,10092,8738,453.5780711924538,4.656917354244709,0.01448361,1.448361,81.94081211286992,86.82037164487268,89.6105110168457,1.373807668685913,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9490.0,9964,8590,452.3690725257174,4.656917354244709,0.01448361,1.448361,81.64143152099105,85.71920165175499,86.88063888549804,1.4542386531829834,4,0.5,0.1,0.1,0.2
G1,800,unipolar,random,11624,9221.9,9936,8549,502.15456894377763,4.656917354244709,0.01448361,1.448361,79.33499655884377,85.47832071576049,84.1918731689453,1.3749303817749023,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,9494.7,9869,8690,366.1420641105186,4.656917354244709,0.01448361,1.448361,81.68186510667586,84.90192704748796,83.53338241577148,1.387451410293579,4,0.5,0.1,0.2,0.1
G1,800,unipolar,random,11624,9617.6,10049,8571,407.0386823004527,4.656917354244709,0.01448361,1.448361,82.73916035788025,86.4504473503097,89.64599685668945,1.4589717388153076,4,0.5,0.1,0.2,0.2
G1,800,unipolar,random,11624,9257.2,9708,8442,463.7819890135163,4.656917354244709,0.01448361,1.448361,79.63867859600826,83.51686166551961,93.42390670776368,1.478097677230835,4,0.5,0.1,0.2,0.3
G1,800,unipolar,random,11624,9471.4,9955,8556,446.88059553606337,4.656917354244709,0.01448361,1.448361,81.48141775636614,85.6417756366139,91.48170471191406,1.479665994644165,4,0.5,0.1,0.3,0.1
G1,800,unipolar,random,11624,9683.6,10069,9071,382.0710230659565,4.656917354244709,0.01448361,1.448361,83.30695113558156,86.62250516173434,91.10289688110352,1.5024323463439941,4,0.5,0.1,0.3,0.2
G1,800,unipolar,random,11624,9446.7,9817,8922,282.4496218600565,4.656917354244709,0.01448361,1.448361,81.26892635925672,84.4545767377839,95.39645538330078,1.6170070171356201,4,0.5,0.1,0.3,0.3
G1,800,unipolar,random,11624,9355.6,9824,8552,432.41086428945744,4.656917354244709,0.01448361,1.448361,80.48520302821748,84.51479697178252,89.49708480834961,1.430490493774414,4,0.5,0.2,0.1,0.1
G1,800,unipolar,random,11624,9365.5,9859,8285,451.19772704313226,4.656917354244709,0.01448361,1.448361,80.57037164487268,84.81589814177563,90.88457641601562,1.4721715450286865,4,0.5,0.2,0.1,0.2
G1,800,unipolar,random,11624,9557.1,10057,8964,299.38509203588166,4.656917354244709,0.01448361,1.448361,82.21868547832072,86.51927047487956,99.84489593505859,1.5778110027313232,4,0.5,0.2,0.1,0.3
G1,800,unipolar,random,11624,9446.6,9714,8668,313.63361497844016,4.656917354244709,0.01448361,1.448361,81.26806607019958,83.56847900894701,90.05999069213867,1.434398889541626,4,0.5,0.2,0.2,0.1
G1,800,unipolar,random,11624,9619.1,9996,9089,231.48719667018784,4.656917354244709,0.01448361,1.448361,82.7520646937371,85.99449415003441,101.9700927734375,1.645965814590454,4,0.5,0.2,0.2,0.2
G1,800,unipolar,random,11624,9385.3,9737,8634,311.43825855037284,4.656917354244709,0.01448361,1.448361,80.74070887818306,83.76634549208534,98.19266204833984,1.6151838302612305,4,0.5,0.2,0.2,0.3
G1,800,unipolar,random,11624,9444.2,9792,8923,262.91435022751335,4.656917354244709,0.01448361,1.448361,81.24741913282864,84.2395044735031,99.7741584777832,1.526318073272705,4,0.5,0.2,0.3,0.1
G1,800,unipolar,random,11624,9153.3,9590,8662,353.07256100316454,4.656917354244709,0.01448361,1.448361,78.74483826565725,82.50172057811425,85.97008743286133,1.37424898147583,4,0.5,0.2,0.3,0.2
G1,800,unipolar,random,11624,9281.4,10034,8552,445.73190746606116,4.656917354244709,0.01448361,1.448361,79.84686854783207,86.32140399174122,89.28844909667968,1.5253641605377197,4,0.5,0.2,0.3,0.3
G1,800,unipolar,random,11624,9493.3,9778,8827,292.4783182847348,4.656917354244709,0.01448361,1.448361,81.66982105987611,84.11906400550585,88.36650619506835,1.4661133289337158,4,0.5,0.3,0.1,0.1
G1,800,unipolar,random,11624,9397.9,9787,8652,335.17771405628986,4.656917354244709,0.01448361,1.448361,80.8491052993806,84.19649002064693,90.09615478515624,1.420130968093872,4,0.5,0.3,0.1,0.2
G1,800,unipolar,random,11624,9438.9,10150,8451,492.8505407885392,4.656917354244709,0.01448361,1.448361,81.2018238128011,87.31933929800412,89.90068893432617,1.3865976333618164,4,0.5,0.3,0.1,0.3
G1,800,unipolar,random,11624,9549.9,10006,8746,366.6755908004907,4.656917354244709,0.01448361,1.448361,82.15674466620784,86.08052305574672,89.4622413635254,1.393430233001709,4,0.5,0.3,0.2,0.1
G1,800,unipolar,random,11624,9269.7,9947,8585,449.39021647858186,4.656917354244709,0.01448361,1.448361,79.74621472814867,85.57295251204404,109.1195899963379,1.9342386722564697,4,0.5,0.3,0.2,0.2
G1,800,unipolar,random,11624,9361.3,9844,8683,361.9889654549032,4.656917354244709,0.01448361,1.448361,80.53423950447349,84.68685478320715,99.55758972167969,1.5796055793762207,4,0.5,0.3,0.2,0.3
G1,800,unipolar,random,11624,9459.2,10047,8682,392.2048217732951,4.656917354244709,0.01448361,1.448361,81.37646249139712,86.43324156916724,104.39912261962891,1.5886664390563965,4,0.5,0.3,0.3,0.1
G1,800,unipolar,random,11624,9426.4,9789,8546,438.7543478733604,4.656917354244709,0.01448361,1.448361,81.0942876806607,84.2136958017894,94.37867813110351,1.4800224304199219,4,0.5,0.3,0.3,0.2
G1,800,unipolar,random,11624,9386.0,9865,8391,469.15929538318267,4.656917354244709,0.01448361,1.448361,80.74673090158294,84.86751548520303,100.77621154785156,1.518282413482666,4,0.5,0.3,0.3,0.3
G1,800,unipolar,random,11624,9369.4,10112,8678,533.7521688740738,4.656917354244709,0.01448361,1.448361,80.60392291810048,86.99242945629732,62.59441871643067,0.9181778430938721,4,0.5,0.1,0.1,0.1
G1,800,unipolar,random,11624,9567.2,10101,8836,358.4782032735355,4.656917354244709,0.01448361,1.448361,82.30557467309016,86.89779766001377,63.908524703979495,0.9392013549804688,4,0.5,0.1,0.1,0.2
