config,param,tau,res,l_scale,d_scale,n_scale,mean_ratio,max_ratio,mean_range,stall_prop
,,,,,,,99.3805918788713,99.76772195457674,10,0.1
,,,,0.3,0.3,0.3,0.3226083964211975,0.8860977288368892,4,0.5
,,,,0.3,0.3,0.3,98.868719889883,99.33757742601514,4,0.9
,,,,,,,99.2653131452168,99.57845836200964,16,0.5
,,,,0.3,0.3,0.3,98.23554714384034,98.64074328974536,16,0.5
,,,,0.3,0.3,0.3,82.08878183069511,82.8114246386786,4,0.5
,,,,0.3,0.3,0.3,0.4103578802477632,0.8430832759807295,4,0.5
,,,,0.3,0.3,0.3,98.037680660702,98.3826565726084,16,0.5
,,,,0.3,0.3,0.3,97.85357880247764,98.28802477632485,16,0.5
,,,,0.3,0.3,0.3,97.81486579490708,98.13317274604267,16,0.5
,,,,0.3,0.3,0.3,19.979353062629045,83.81796283551273,4,0.5
,,,,0.3,0.3,0.3,97.96885753613212,98.69236063317274,16,0.5
,,,,0.3,0.3,0.3,98.97023399862354,99.2429456297316,16,0.5
,,,,0.3,0.3,0.3,98.8644184445974,98.96765313145217,4,0.9
,,,,,,,98.40588437715073,99.01927047487956,4,0.9
,,,,0.3,0.3,0.3,22.66603578802477,80.82415691672402,4,0.5
,,,,0.3,0.3,0.3,98.77752924982794,99.04507914659324,4,0.9
,,,,0.3,0.3,0.3,99.09669649002063,99.52684101858225,16,0.5
,,,,0.3,0.3,0.3,97.77873365450792,98.21059876118376,16,0.5
,,,,0.3,0.3,0.3,81.13214039917412,83.92980041293875,4,0.5
,,,,,,,98.35426703372332,98.82140399174122,16,0.5
,,,,0.3,0.3,0.3,98.06262904335856,98.3826565726084,16,0.5
,,,,0.3,0.3,0.3,97.89745354439091,98.5461114934618,16,0.5
,,,,,,,0.0,0.0,4,0.5
,,,,0.3,0.3,0.3,99.13713007570544,99.38919476944254,16,0.5
,,,,,,,99.25671025464555,99.55264969029594,16,0.5
,,,,0.3,0.3,0.3,82.94562973158982,98.7611837577426,4,0.5
,,,,,,,0.0,0.0,4,0.5
,,,,0.3,0.3,0.3,97.91982105987611,98.23640743289744,4,0.9
,,,,0.3,0.3,0.3,98.73709566414315,99.37198898830007,16,0.5
,,,,,,,0.0,0.0,4,0.5
,,,,0.3,0.3,0.3,99.01927047487956,99.2429456297316,16,0.5
,,,,0.3,0.3,0.3,80.4636958017894,85.28905712319339,4,0.5
,,,,0.3,0.3,0.3,98.07725395732966,98.37405368203716,4,0.9
,,,,0.3,0.3,0.3,98.13489332415692,98.58052305574672,16,0.5
,,,,0.3,0.3,0.3,99.1319683413627,99.3805918788713,16,0.5
,,,,0.3,0.3,0.3,97.88713007570544,98.32243633860978,4,0.9
,,,,,,,0.0,0.0,4,0.5
,,,,0.3,0.3,0.3,99.06658637302134,99.47522367515484,16,0.5
,,,,0.3,0.3,0.3,82.47935306262904,83.80075705437027,4,0.5
,,,,0.3,0.3,0.3,80.95836200963524,84.23090158293186,4,0.5
,,,,,,,0.0,0.0,10,0.1
,,,,0.3,0.3,0.3,97.76927047487956,98.219201651755,4,0.9
,,,,0.3,0.3,0.3,98.5461114934618,98.8988300068823,16,0.5
,,,,0.3,0.3,0.3,82.05695113558154,87.13007570543702,4,0.5
,,,,0.3,0.3,0.3,0.3389538885065382,0.9893324156916724,4,0.5
,,,,,,,98.42136958017896,98.71816930488644,4,0.9
,,,,0.3,0.3,0.3,97.89401238816242,98.37405368203716,4,0.9
,,,,,,,99.07088781830696,99.3805918788713,4,0.9
,,,,0.3,0.3,0.3,98.14607708189952,98.51169993117688,4,0.9
,,,,,,,99.23090158293186,99.50103234686854,16,0.5
,,,,0.3,0.3,0.3,99.04163799036476,99.44081211286992,16,0.5
,,,,0.3,0.3,0.3,81.47195457673777,83.05230557467308,4,0.5
,,,,0.3,0.3,0.3,98.99604267033725,99.29456297315896,16,0.5
,,,,0.3,0.3,0.3,98.25103234686854,98.64074328974536,4,0.9
,,,,,,,99.00894700619408,99.29456297315896,4,0.9
,,,,0.3,0.3,0.3,82.4225739848589,83.18134893324157,4,0.5
,,,,0.3,0.3,0.3,98.58482450103234,98.83860977288369,16,0.5
,,,,0.3,0.3,0.3,0.0378527185134205,0.3785271851342051,4,0.5
,,,,0.3,0.3,0.3,81.72401927047488,83.0006882312457,4,0.5
,,,,0.3,0.3,0.3,98.11252580867172,98.5203028217481,16,0.5
,,,,,,,99.2472470750172,99.42360633172746,16,0.5
,,,,0.3,0.3,0.3,98.21403991741224,98.79559532002752,4,0.9
,,,,0.3,0.3,0.3,98.03165863730212,98.48589125946316,4,0.9
,,,,0.2,0.3,0.1,0.0,0.0,4,0.5
,,,,0.3,0.3,0.3,84.49415003441156,87.50860289057123,4,0.5
,,,,0.3,0.3,0.3,80.74673090158294,84.86751548520303,4,0.5
,,,,0.3,0.3,0.3,81.26806607019958,87.28492773571921,4,0.5
,,,,0.3,0.3,0.3,98.0557467309016,98.74397797660014,4,0.9
,,,,0.3,0.3,0.3,97.9705781142464,98.34824501032348,4,0.9
,,,,,,,0.0,0.0,4,0.5
,,,,0.3,0.3,0.3,97.99208534067446,98.46868547832072,4,0.9
,,,,,,,98.19941500344116,98.4944941500344,16,0.5
,,,,,,,98.45578114246386,98.77838953888508,16,0.5
,,,,0.3,0.3,0.3,98.1082243633861,98.68375774260151,4,0.9
,,,,0.3,0.3,0.3,97.95509291121816,98.4342739160358,4,0.9
,,,,0.3,0.3,0.3,98.5091190640055,98.95905024088094,16,0.5
,,,,,,,98.449759119064,99.01066758430832,4,0.9
,,,,0.3,0.3,0.3,97.85271851342053,98.34824501032348,16,0.5
,,,,,,,0.0,0.0,4,0.5
,,,,0.3,0.3,0.3,0.3363730213351686,0.8172746042670337,4,0.5
,,,,0.3,0.3,0.3,98.22006194081212,98.67515485203027,4,0.9
,,,,,,,98.2527529249828,98.9504473503097,16,0.5
,,,,0.3,0.3,0.3,98.74741913282864,99.1397109428768,4,0.9
,,,,0.3,0.3,0.3,98.95216792842396,99.3805918788713,4,0.9
,,,,0.3,0.3,0.3,98.98571920165176,99.3031658637302,4,0.9
,,,,0.3,0.3,0.3,98.90141087405368,99.1913282863042,4,0.9
,,,,,,,99.13454920853408,99.52684101858225,4,0.9
,,,,0.3,0.3,0.3,81.96920165175499,83.06090846524432,4,0.5
,,,,,,,0.0,0.0,4,0.5
,,,,0.3,0.3,0.3,97.88713007570544,98.32243633860978,16,0.5
,,,,0.3,0.3,0.3,0.1367859600825877,0.8688919476944253,4,0.5
,,,,,,,98.64160357880247,98.93324156916724,4,0.9
,,,,0.3,0.3,0.3,98.7018238128011,99.12250516173434,4,0.9
,,,,,,,99.08121128699244,99.29456297315896,4,0.9
,,,,0.3,0.3,0.3,98.22264280798348,98.66655196145904,4,0.9
,,,,,,,0.0,0.0,4,0.5
,,,,0.3,0.3,0.3,0.3269098417068135,0.8258774948382657,4,0.5
