config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
3,2,8,1,0.1,0.1,0.3,4.0,,99.67222986923606,99.93117687543014,11585.9,11616.0,69.81474876403809,1.0073955059051514
3,2,1,1,0.1,0.1,0.3,4.0,,99.67050929112182,99.96558843771508,11585.7,11620.0,65.58011894226074,0.9496572017669678
3,2,1,1,0.2,0.1,0.3,4.0,,99.66534755677908,99.90536820371644,11585.1,11613.0,61.73356819152832,0.9166078567504884
3,2,8,1,0.1,0.2,0.2,4.0,,99.65158293186512,99.97419132828632,11583.5,11621.0,58.26093788146973,0.8782472610473633
3,2,1,1,0.1,0.2,0.3,4.0,,99.64814177563662,99.89676531314522,11583.1,11612.0,61.00045394897461,0.9123327732086182
3,2,8,2,0.1,0.2,0.1,4.0,,99.6326565726084,99.92257398485891,11581.3,11615.0,68.40780143737793,0.9867355823516846
3,2,4,1,0.2,0.2,0.1,4.0,,99.6326565726084,99.93977976600138,11581.3,11617.0,59.4733699798584,0.8916211128234863
3,2,4,1,0.1,0.1,0.2,4.0,,99.62577426015142,99.87095664143152,11580.5,11609.0,58.99527702331543,0.8944575786590576
3,2,2,1,0.2,0.2,0.1,4.0,,99.62491397109429,99.81933929800412,11580.4,11603.0,59.883622360229495,0.8939435482025146
3,2,2,1,0.1,0.2,0.3,4.0,,99.62233310392293,99.81933929800412,11580.1,11603.0,63.053789138793945,0.9270787239074708
4,2,2,2,0.2,0.2,0.2,,0.3,99.61889194769442,99.91397109428767,11579.7,11614.0,61.50586967468261,0.9529168605804444
3,2,8,1,0.2,0.2,0.2,4.0,,99.61373021335169,99.8365450791466,11579.1,11605.0,73.6049144744873,1.046619892120361
3,2,4,1,0.1,0.1,0.3,4.0,,99.61373021335169,99.9483826565726,11579.1,11618.0,68.75272636413574,0.9966206550598145
3,2,1,1,0.3,0.1,0.2,4.0,,99.60082587749484,99.9483826565726,11577.6,11618.0,73.37390022277832,1.041344165802002
3,2,2,1,0.1,0.1,0.3,4.0,,99.59050240880936,99.89676531314522,11576.4,11612.0,59.595645141601565,0.9468259811401368
3,2,8,1,0.2,0.2,0.3,4.0,,99.58620096352374,99.8107364074329,11575.9,11602.0,63.23092842102051,0.932612419128418
3,2,1,1,0.2,0.3,0.1,4.0,,99.58448038540948,99.95698554714384,11575.7,11619.0,67.58552627563476,0.9894461631774902
