config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,graph_file,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
3,2,100,10,0.0,0.0,0.5,4,,G1.txt,98.84979353062629,99.07088781830696,11490.3,11516.0,52.26382713317871,0.891862154006958
3,2,100,10,0.0,0.0,1.0,4,,G1.txt,98.80677907777013,99.23434273916035,11485.3,11535.0,59.38523139953613,0.9021115303039551
3,2,100,10,0.0,0.1,0.5,4,,G1.txt,98.7018238128011,98.99346180316586,11473.1,11507.0,53.76182060241699,0.825716495513916
3,2,100,10,0.0,0.1,1.0,4,,G1.txt,98.73537508602891,99.15691672401927,11477.0,11526.0,65.26125106811523,0.9537358283996582
3,2,100,10,0.0,0.2,0.5,4,,G1.txt,98.6794562973159,99.14831383344804,11470.5,11525.0,46.611030197143556,0.7563357353210449
3,2,100,10,0.0,0.2,1.0,4,,G1.txt,98.68805918788713,98.94184445973848,11471.5,11501.0,49.62518119812012,0.7911272048950195
3,2,100,10,0.0,0.3,0.5,4,,G1.txt,98.78957329662767,99.28596008258775,11483.3,11541.0,70.91113891601563,0.9958031177520752
3,2,100,10,0.0,0.3,1.0,4,,G1.txt,98.79731589814178,99.13110805230558,11484.2,11523.0,62.38500823974609,0.9447097778320312
3,2,100,10,0.0,0.4,0.5,4,,G1.txt,98.6794562973159,99.04507914659325,11470.5,11513.0,57.03145294189453,0.8613967895507812
3,2,100,10,0.0,0.4,1.0,4,,G1.txt,98.60375086028905,98.91603578802477,11461.7,11498.0,53.2141056060791,0.8304674625396729
3,2,100,10,0.0,0.5,0.5,4,,G1.txt,98.65966964900207,98.95905024088094,11468.2,11503.0,46.307212829589844,0.7688326835632324
3,2,100,10,0.0,0.5,1.0,4,,G1.txt,98.73193392980042,99.10529938059187,11476.6,11520.0,52.289116287231444,0.8085618019104004
3,2,100,10,0.25,0.0,0.5,4,,G1.txt,98.63816242257398,99.11390227116311,11465.7,11521.0,50.21221809387207,0.789116382598877
3,2,100,10,0.25,0.0,1.0,4,,G1.txt,98.694081211287,98.90743289745355,11472.2,11497.0,57.85986862182617,0.9216077327728271
3,2,100,10,0.25,0.1,0.5,4,,G1.txt,98.60977288368892,98.93324156916724,11462.4,11500.0,47.02248649597168,0.7794361114501953
3,2,100,10,0.25,0.1,1.0,4,,G1.txt,98.62697866483138,98.90743289745355,11464.4,11497.0,58.48163528442383,0.8701791763305664
3,2,100,10,0.25,0.2,0.5,4,,G1.txt,98.69150034411562,98.8988300068823,11471.9,11496.0,47.6073600769043,0.7787387371063232
3,2,100,10,0.25,0.2,1.0,4,,G1.txt,98.67257398485891,99.0020646937371,11469.7,11508.0,53.46989402770996,0.8258533477783203
3,2,100,10,0.25,0.3,0.5,4,,G1.txt,98.71214728148658,99.1913282863042,11474.3,11530.0,59.47867851257324,0.9363083839416504
3,2,100,10,0.25,0.3,1.0,4,,G1.txt,98.62095664143152,98.9504473503097,11463.7,11502.0,52.90002555847168,0.8270981311798096
3,2,100,10,0.25,0.4,0.5,4,,G1.txt,98.63816242257398,99.01066758430832,11465.7,11509.0,57.72439956665039,0.8955237865447998
3,2,100,10,0.25,0.4,1.0,4,,G1.txt,98.6459050240881,98.92463867859601,11466.6,11499.0,65.4819107055664,0.9509899616241455
3,2,100,10,0.25,0.5,0.5,4,,G1.txt,98.56503785271852,99.04507914659325,11457.2,11513.0,61.065507125854495,0.9165029525756836
3,2,100,10,0.25,0.5,1.0,4,,G1.txt,98.68547832071576,99.13110805230558,11471.2,11523.0,53.539737701416016,0.8643631935119629
3,2,100,10,0.5,0.0,0.5,4,,G1.txt,97.67721954576737,98.68375774260151,11354.0,11471.0,45.749721908569335,0.7563796043395996
3,2,100,10,0.5,0.0,1.0,4,,G1.txt,97.46386785960082,98.36545079146593,11329.2,11434.0,53.474687576293945,0.8529198169708252
3,2,100,10,0.5,0.1,0.5,4,,G1.txt,97.61183757742602,98.02993805918788,11346.4,11395.0,58.31099891662598,0.9593119621276855
3,2,100,10,0.5,0.1,1.0,4,,G1.txt,97.71335168616655,98.39125946317962,11358.2,11437.0,52.604346084594724,0.8310368061065674
3,2,100,10,0.5,0.2,0.5,4,,G1.txt,97.82002752924983,98.2794218857536,11370.6,11424.0,55.45096893310547,0.8555359840393066
3,2,100,10,0.5,0.2,1.0,4,,G1.txt,97.82002752924983,98.36545079146593,11370.6,11434.0,50.2966812133789,0.8011140823364258
3,2,100,10,0.5,0.3,0.5,4,,G1.txt,97.53957329662767,97.84927735719202,11338.0,11374.0,56.20740737915039,0.848473310470581
3,2,100,10,0.5,0.3,1.0,4,,G1.txt,97.63248451479697,98.11596696490021,11348.8,11405.0,57.124617385864255,0.866370439529419
3,2,100,10,0.5,0.4,0.5,4,,G1.txt,97.49741913282863,98.11596696490021,11333.1,11405.0,47.91437454223633,0.7688231468200684
3,2,100,10,0.5,0.4,1.0,4,,G1.txt,97.60323468685478,98.18479008947006,11345.4,11413.0,57.457846069335936,0.8911724090576172
3,2,100,10,0.5,0.5,0.5,4,,G1.txt,97.67635925671026,98.1933929800413,11353.9,11414.0,47.5255744934082,0.759798526763916
3,2,100,10,0.5,0.5,1.0,4,,G1.txt,97.60323468685478,98.20199587061252,11345.4,11415.0,48.54925422668457,0.7723767757415771
3,2,100,10,0.0,0.0,0.5,4,,G22.txt,98.08294033984579,98.48042518152556,13102.9,13156.0,63.89084053039551,1.0539460182189941
3,2,100,10,0.0,0.0,1.0,4,,G22.txt,98.01557002769668,98.54030990343588,13093.9,13164.0,79.24936294555664,1.2002482414245605
3,2,100,10,0.0,0.1,0.5,4,,G22.txt,98.17052174563965,98.34568455722734,13114.6,13138.0,59.67781791687012,0.9991416931152344
3,2,100,10,0.0,0.1,1.0,4,,G22.txt,98.13758514858897,98.38311250842129,13110.2,13143.0,70.77894973754883,1.0951249599456787
3,2,100,10,0.0,0.2,0.5,4,,G22.txt,98.03203832622202,98.3756269181825,13096.1,13142.0,71.54004745483398,1.144228219985962
3,2,100,10,0.0,0.2,1.0,4,,G22.txt,98.06422636424882,98.44299723033161,13100.4,13151.0,71.75529861450195,1.1467485427856445
3,2,100,10,0.0,0.3,0.5,4,,G22.txt,97.98862190283704,98.17351598173516,13090.3,13115.0,66.64713859558105,1.0515599250793457
3,2,100,10,0.0,0.3,1.0,4,,G22.txt,98.0649749232727,98.63762257654017,13100.5,13177.0,79.11526107788086,1.2030761241912842
3,2,100,10,0.0,0.4,0.5,4,,G22.txt,97.94969683359533,98.8472191032263,13085.1,13205.0,67.56125526428222,1.0978517532348633
3,2,100,10,0.0,0.4,1.0,4,,G22.txt,97.84489857025227,98.54030990343588,13071.1,13164.0,92.10641632080078,1.346839427947998
3,2,100,10,0.0,0.5,0.5,4,,G22.txt,97.76929410884048,98.15854480125758,13061.0,13113.0,86.70220794677735,1.416783094406128
3,2,100,10,0.0,0.5,1.0,4,,G22.txt,97.86136686877761,98.21094393292911,13073.3,13120.0,103.48336029052734,1.6965272426605225
3,2,100,10,0.25,0.0,0.5,4,,G22.txt,97.86585822292088,98.26334306460065,13073.9,13127.0,75.44111099243165,1.2518689632415771
3,2,100,10,0.25,0.0,1.0,4,,G22.txt,97.93098285799836,98.16603039149636,13082.6,13114.0,82.26480407714844,1.3561999797821045
3,2,100,10,0.25,0.1,0.5,4,,G22.txt,97.90553185118647,98.38311250842129,13079.2,13143.0,64.68315925598145,1.0461807250976562
3,2,100,10,0.25,0.1,1.0,4,,G22.txt,98.05674077401002,98.41305486937645,13099.4,13147.0,87.26678771972657,1.3055388927459717
3,2,100,10,0.25,0.2,0.5,4,,G22.txt,97.92649150385508,98.17351598173516,13082.0,13115.0,66.22827911376953,1.0816161632537842
3,2,100,10,0.25,0.2,1.0,4,,G22.txt,97.91975447264016,98.27831424507822,13081.1,13129.0,76.0336296081543,1.2678842544555664
3,2,100,10,0.25,0.3,0.5,4,,G22.txt,97.85612695561045,98.09117448910847,13072.6,13104.0,62.042898941040036,1.0296862125396729
3,2,100,10,0.25,0.3,1.0,4,,G22.txt,97.89729770192379,98.3007710157946,13078.1,13132.0,71.44886703491211,1.1279842853546143
3,2,100,10,0.25,0.4,0.5,4,,G22.txt,97.80747061905831,98.03877535743693,13066.1,13097.0,62.889933013916014,1.04880690574646
3,2,100,10,0.25,0.4,1.0,4,,G22.txt,97.93098285799836,98.15105921101879,13082.6,13112.0,83.18817825317383,1.3797104358673096
3,2,100,10,0.25,0.5,0.5,4,,G22.txt,97.78426528931806,98.12860244030242,13063.0,13109.0,83.40251083374024,1.3261401653289795
3,2,100,10,0.25,0.5,1.0,4,,G22.txt,97.81720188636874,98.32322778651097,13067.4,13135.0,76.68464736938476,1.3337781429290771
3,2,100,10,0.5,0.0,0.5,4,,G22.txt,96.3979339770941,96.81113855827532,12877.8,12933.0,66.8276424407959,1.0689213275909424
3,2,100,10,0.5,0.0,1.0,4,,G22.txt,96.52518901115353,97.04319185567782,12894.8,12964.0,73.90942459106445,1.1627275943756104
3,2,100,10,0.5,0.1,0.5,4,,G22.txt,96.21004566210046,96.5192005389625,12852.7,12894.0,82.56314544677734,1.3057796955108643
3,2,100,10,0.5,0.1,1.0,4,,G22.txt,96.34553484542256,96.96833595328992,12870.8,12954.0,102.07691268920898,1.522216558456421
3,2,100,10,0.5,0.2,0.5,4,,G22.txt,96.47578411557751,97.0506774459166,12888.2,12965.0,85.53539543151855,1.312790870666504
3,2,100,10,0.5,0.2,1.0,4,,G22.txt,96.47578411557751,97.10307657758814,12888.2,12972.0,90.1383544921875,1.3375279903411865
3,2,100,10,0.5,0.3,0.5,4,,G22.txt,96.29912418594206,96.70634029493226,12864.6,12919.0,78.78976249694824,1.2183763980865479
3,2,100,10,0.5,0.3,1.0,4,,G22.txt,96.43910472340744,96.9009656411408,12883.3,12945.0,104.27151947021484,1.5565369129180908
3,2,100,10,0.5,0.4,0.5,4,,G22.txt,96.40092821318962,97.10307657758814,12878.2,12972.0,85.29066467285156,1.3947842121124268
3,2,100,10,0.5,0.4,1.0,4,,G22.txt,96.33131222396887,96.8186241485141,12868.9,12934.0,75.66592025756836,1.3437435626983643
3,2,100,10,0.5,0.5,0.5,4,,G22.txt,96.18908600943185,96.66142675349951,12849.9,12913.0,80.62232894897461,1.3333380222320557
3,2,100,10,0.5,0.5,1.0,4,,G22.txt,96.21603413429149,96.69885470469346,12853.5,12918.0,82.75378799438477,1.292431354522705
3,2,100,10,0.0,0.0,0.5,4,,G47.txt,98.16884482499624,98.5579089680036,6535.1,6561.0,49.3196159362793,0.8305740356445312
3,2,100,10,0.0,0.0,1.0,4,,G47.txt,98.08772720444645,98.51284362325372,6529.7,6558.0,55.08939552307129,0.9392991065979004
3,2,100,10,0.0,0.1,0.5,4,,G47.txt,98.20940363527114,98.72314856541986,6537.8,6572.0,55.34378890991211,0.8934519290924072
3,2,100,10,0.0,0.1,1.0,4,,G47.txt,98.40318461769566,98.79825747333634,6550.7,6577.0,60.87082633972168,0.9329957962036133
3,2,100,10,0.0,0.2,0.5,4,,G47.txt,98.27700165239598,98.70812678383656,6542.3,6571.0,57.48384017944336,0.9037759304046631
3,2,100,10,0.0,0.2,1.0,4,,G47.txt,98.12978819287967,98.45275649692053,6532.5,6554.0,69.64285354614258,1.0114850997924805
3,2,100,10,0.0,0.3,0.5,4,,G47.txt,98.15081868709629,98.72314856541986,6533.9,6572.0,57.777827453613284,0.8936741352081299
3,2,100,10,0.0,0.3,1.0,4,,G47.txt,98.38215412347904,98.88838816283611,6549.3,6583.0,60.826713943481444,0.9690475463867188
3,2,100,10,0.0,0.4,0.5,4,,G47.txt,97.96755295178008,98.42271293375394,6521.7,6552.0,66.00937919616699,0.9879248142242432
3,2,100,10,0.0,0.4,1.0,4,,G47.txt,98.21391016974613,98.60297431275349,6538.1,6564.0,60.87249870300293,0.9156501293182373
3,2,100,10,0.0,0.5,0.5,4,,G47.txt,98.00660958389665,98.42271293375394,6524.3,6552.0,58.470166015625,0.9877889156341553
3,2,100,10,0.0,0.5,1.0,4,,G47.txt,98.05317710680487,98.60297431275349,6527.4,6564.0,77.8948486328125,1.1521873474121094
3,2,100,10,0.25,0.0,0.5,4,,G47.txt,98.16433829052126,98.48280006008713,6534.8,6556.0,63.1976863861084,0.9558584690093994
3,2,100,10,0.25,0.0,1.0,4,,G47.txt,98.15232086525462,98.61799609433679,6534.0,6565.0,65.45323448181152,1.0219900608062744
3,2,100,10,0.25,0.1,0.5,4,,G47.txt,98.4407390716539,98.5879525311702,6553.2,6563.0,54.68158111572266,0.8998317718505859
3,2,100,10,0.25,0.1,1.0,4,,G47.txt,98.26197987081268,98.48280006008713,6541.3,6556.0,64.58477668762207,0.9752233028411865
3,2,100,10,0.25,0.2,0.5,4,,G47.txt,97.99008562415503,98.52786540483702,6523.2,6559.0,55.054300689697264,0.9209582805633545
3,2,100,10,0.25,0.2,1.0,4,,G47.txt,98.09824245155475,98.5579089680036,6530.4,6561.0,63.43853492736817,0.9673280715942383
3,2,100,10,0.25,0.3,0.5,4,,G47.txt,98.11777076761304,98.60297431275349,6531.7,6564.0,63.71829414367676,0.9539816379547119
3,2,100,10,0.25,0.3,1.0,4,,G47.txt,98.20489710079616,98.63301787592009,6537.5,6566.0,62.05959053039551,0.9920318126678467
3,2,100,10,0.25,0.4,0.5,4,,G47.txt,98.03064443442992,98.75319212858645,6525.9,6574.0,53.006207656860354,0.8477048873901367
3,2,100,10,0.25,0.4,1.0,4,,G47.txt,97.89845275649692,98.31756046267087,6517.1,6545.0,71.08810272216797,1.0438141822814941
3,2,100,10,0.25,0.5,0.5,4,,G47.txt,98.07570977917982,98.70812678383656,6528.9,6571.0,55.54337272644043,0.8571774959564209
3,2,100,10,0.25,0.5,1.0,4,,G47.txt,97.95553552651344,98.27249511792098,6520.9,6542.0,58.241011428833005,0.9154727458953857
3,2,100,10,0.5,0.0,0.5,4,,G47.txt,96.58855340243353,97.05573080967403,6429.9,6461.0,50.74349822998047,0.8081235885620117
3,2,100,10,0.5,0.0,1.0,4,,G47.txt,96.58404686795853,97.08577437284062,6429.6,6463.0,59.96616973876953,0.9134159088134766
3,2,100,10,0.5,0.1,0.5,4,,G47.txt,96.69220369535827,97.8368634520054,6436.8,6513.0,49.89006080627441,0.8312077522277832
3,2,100,10,0.5,0.1,1.0,4,,G47.txt,96.6786840919333,97.17590506234039,6435.9,6469.0,66.5219741821289,1.015533447265625
3,2,100,10,0.5,0.2,0.5,4,,G47.txt,96.8153823043413,97.71668919933904,6445.0,6505.0,55.47898902893066,0.8844168186187744
3,2,100,10,0.5,0.2,1.0,4,,G47.txt,96.62610785639177,97.44629713083972,6432.4,6487.0,57.85712013244629,0.8937885761260986
3,2,100,10,0.5,0.3,0.5,4,,G47.txt,96.69821240799159,97.5214060387562,6437.2,6492.0,77.19055061340332,1.1667985916137695
3,2,100,10,0.5,0.3,1.0,4,,G47.txt,96.6381252816584,97.40123178608982,6433.2,6484.0,62.813283157348636,1.0216827392578125
3,2,100,10,0.5,0.4,0.5,4,,G47.txt,96.53147063241701,97.5063842571729,6426.1,6491.0,56.14343070983887,0.8997700214385986
3,2,100,10,0.5,0.4,1.0,4,,G47.txt,96.66967102298332,97.29607931500676,6435.3,6477.0,60.732109451293944,0.9354972839355469
3,2,100,10,0.5,0.5,0.5,4,,G47.txt,96.62911221270842,97.46131891242301,6432.6,6488.0,54.23723526000977,0.8382501602172852
3,2,100,10,0.5,0.5,1.0,4,,G47.txt,96.35571578789245,97.23599218867358,6414.4,6473.0,60.51640243530274,0.9211182594299316
3,2,100,10,0.0,0.0,0.5,4,,G48.txt,92.89666666666666,93.76666666666667,5573.8,5626.0,100.42835845947266,1.6536195278167725
3,2,100,10,0.0,0.0,1.0,4,,G48.txt,93.21666666666667,94.33333333333333,5593.0,5660.0,136.6182662963867,2.057466745376587
3,2,100,10,0.0,0.1,0.5,4,,G48.txt,92.65,93.7,5559.0,5622.0,93.77531967163085,1.603473424911499
3,2,100,10,0.0,0.1,1.0,4,,G48.txt,92.94333333333333,94.1,5576.6,5646.0,116.61862030029297,1.904606580734253
3,2,100,10,0.0,0.2,0.5,4,,G48.txt,92.47,94.06666666666666,5548.2,5644.0,97.71386795043945,1.7317171096801758
3,2,100,10,0.0,0.2,1.0,4,,G48.txt,92.61333333333333,93.73333333333333,5556.8,5624.0,113.06992874145507,1.797544240951538
3,2,100,10,0.0,0.3,0.5,4,,G48.txt,92.02666666666667,92.73333333333333,5521.6,5564.0,93.40668411254883,1.567415475845337
3,2,100,10,0.0,0.3,1.0,4,,G48.txt,92.72333333333333,94.16666666666667,5563.4,5650.0,124.14175109863281,1.943223476409912
3,2,100,10,0.0,0.4,0.5,4,,G48.txt,92.01333333333334,92.83333333333333,5520.8,5570.0,93.89625854492188,1.5010735988616943
3,2,100,10,0.0,0.4,1.0,4,,G48.txt,91.66333333333333,92.5,5499.8,5550.0,136.21594924926757,1.9968078136444092
3,2,100,10,0.0,0.5,0.5,4,,G48.txt,91.67333333333333,93.5,5500.4,5610.0,82.6931053161621,1.3960673809051514
3,2,100,10,0.0,0.5,1.0,4,,G48.txt,91.36,92.66666666666667,5481.6,5560.0,106.7748176574707,1.681169033050537
3,2,100,10,0.25,0.0,0.5,4,,G48.txt,93.03333333333333,94.83333333333333,5582.0,5690.0,108.69095382690429,1.707028865814209
3,2,100,10,0.25,0.0,1.0,4,,G48.txt,92.89333333333333,93.76666666666667,5573.6,5626.0,108.22741394042968,1.7707886695861816
3,2,100,10,0.25,0.1,0.5,4,,G48.txt,92.45,93.73333333333333,5547.0,5624.0,92.66011581420898,1.5821270942687988
3,2,100,10,0.25,0.1,1.0,4,,G48.txt,92.95,93.73333333333333,5577.0,5624.0,103.87277450561524,1.7701900005340576
3,2,100,10,0.25,0.2,0.5,4,,G48.txt,92.63666666666667,94.03333333333333,5558.2,5642.0,82.1299934387207,1.4187953472137451
3,2,100,10,0.25,0.2,1.0,4,,G48.txt,92.38,92.9,5542.8,5574.0,107.24262771606445,1.6430115699768066
3,2,100,10,0.25,0.3,0.5,4,,G48.txt,92.10666666666667,93.96666666666667,5526.4,5638.0,94.86157150268555,1.5051357746124268
3,2,100,10,0.25,0.3,1.0,4,,G48.txt,92.29666666666667,93.83333333333333,5537.8,5630.0,100.55093154907226,1.6151185035705566
3,2,100,10,0.25,0.4,0.5,4,,G48.txt,92.34333333333333,93.6,5540.6,5616.0,83.35857315063477,1.3937199115753174
3,2,100,10,0.25,0.4,1.0,4,,G48.txt,92.2,93.16666666666667,5532.0,5590.0,100.54306564331054,1.6354238986968994
3,2,100,10,0.25,0.5,0.5,4,,G48.txt,91.60333333333334,92.06666666666666,5496.2,5524.0,90.77093658447265,1.5914831161499023
3,2,100,10,0.25,0.5,1.0,4,,G48.txt,91.24,92.36666666666666,5474.4,5542.0,111.26370468139649,1.789546012878418
3,2,100,10,0.5,0.0,0.5,4,,G48.txt,90.04666666666667,91.53333333333333,5402.8,5492.0,88.41461029052735,1.4792742729187012
3,2,100,10,0.5,0.0,1.0,4,,G48.txt,90.06333333333333,90.7,5403.8,5442.0,103.8329849243164,1.652700662612915
3,2,100,10,0.5,0.1,0.5,4,,G48.txt,89.66666666666667,90.4,5380.0,5424.0,91.93234939575196,1.492480993270874
3,2,100,10,0.5,0.1,1.0,4,,G48.txt,90.17,90.93333333333334,5410.2,5456.0,107.85225372314453,1.8083689212799072
3,2,100,10,0.5,0.2,0.5,4,,G48.txt,90.04333333333334,91.13333333333334,5402.6,5468.0,97.75261154174805,1.6146104335784912
3,2,100,10,0.5,0.2,1.0,4,,G48.txt,89.72,90.7,5383.2,5442.0,111.41659011840821,1.7108747959136963
3,2,100,10,0.5,0.3,0.5,4,,G48.txt,89.32666666666667,90.33333333333333,5359.6,5420.0,92.21537017822266,1.5019683837890625
3,2,100,10,0.5,0.3,1.0,4,,G48.txt,89.31,90.26666666666667,5358.6,5416.0,105.75874786376953,1.6263294219970703
3,2,100,10,0.5,0.4,0.5,4,,G48.txt,89.07333333333334,89.83333333333333,5344.4,5390.0,85.34570846557617,1.4406988620758057
3,2,100,10,0.5,0.4,1.0,4,,G48.txt,89.3,91.03333333333333,5358.0,5462.0,123.05333938598633,1.9428091049194336
3,2,100,10,0.5,0.5,0.5,4,,G48.txt,88.76666666666667,90.73333333333333,5326.0,5444.0,93.4827896118164,1.5474214553833008
3,2,100,10,0.5,0.5,1.0,4,,G48.txt,89.05666666666667,89.56666666666666,5343.4,5374.0,108.95557861328125,1.6951549053192139
3,2,100,10,0.0,0.0,0.5,4,,G55.txt,96.68123118749395,96.92203126517137,9957.2,9982.0,135.01876525878907,2.509913206100464
3,2,100,10,0.0,0.0,1.0,4,,G55.txt,96.70065054859697,96.87348286241382,9959.2,9977.0,173.32805786132812,2.8257503509521484
3,2,100,10,0.0,0.1,0.5,4,,G55.txt,96.70259248470725,97.02883775123799,9959.4,9993.0,132.30544891357422,2.4488320350646973
3,2,100,10,0.0,0.1,1.0,4,,G55.txt,96.7297795902515,97.3395475288863,9962.2,10025.0,158.6931915283203,2.8158342838287354
3,2,100,10,0.0,0.2,0.5,4,,G55.txt,96.55888921254491,97.00941839013497,9944.6,9991.0,127.70917739868165,2.3499903678894043
3,2,100,10,0.0,0.2,1.0,4,,G55.txt,96.52684726672491,96.83464414020779,9941.3,9973.0,166.2454574584961,2.9630236625671387
3,2,100,10,0.0,0.3,0.5,4,,G55.txt,96.35984076123896,96.70841829303816,9924.1,9960.0,124.91946945190429,2.459956407546997
3,2,100,10,0.0,0.3,1.0,4,,G55.txt,96.39770851538984,96.64045052917758,9928.0,9953.0,161.42049102783204,2.8742899894714355
3,2,100,10,0.0,0.4,0.5,4,,G55.txt,95.95591805029615,96.24235362656569,9882.5,9912.0,130.6258888244629,2.3946855068206787
3,2,100,10,0.0,0.4,1.0,4,,G55.txt,95.99281483639187,96.57248276531702,9886.3,9946.0,154.9121124267578,2.754196882247925
