config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,graph_file,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
2,2,100,10,0.0,0.0,1.0,,,G1.txt,99.05970406056434,99.45801789401239,11514.7,11561.0,71.92330474853516,1.6995139122009277
2,2,100,10,0.0,0.0,1.5,,,G1.txt,99.17584308327598,99.34618031658637,11528.2,11548.0,77.75191307067871,1.3787429332733154
2,2,100,10,0.0,0.0,2.0,,,G1.txt,99.22573984858913,99.84514796971783,11534.0,11606.0,88.87619857788086,1.4422502517700195
2,2,100,10,0.0,0.1,1.0,,,G1.txt,99.11390227116311,99.26875430144528,11521.0,11539.0,67.53183288574219,1.1742417812347412
2,2,100,10,0.0,0.1,1.5,,,G1.txt,99.29628355127323,99.6214728148658,11542.2,11580.0,80.42074584960938,1.384847640991211
2,2,100,10,0.0,0.1,2.0,,,G1.txt,99.22660013764624,99.38919476944254,11534.1,11553.0,82.1402374267578,1.3628764152526855
2,2,100,10,0.0,0.2,1.0,,,G1.txt,99.18444597384722,99.44941500344116,11529.2,11560.0,80.03082237243652,1.2816014289855957
2,2,100,10,0.0,0.2,1.5,,,G1.txt,99.26445285615966,99.59566414315209,11538.5,11577.0,76.51257934570313,1.257828950881958
2,2,100,10,0.0,0.2,2.0,,,G1.txt,99.15347556779078,99.30316586373021,11525.6,11543.0,78.82433395385742,1.3212366104125977
2,2,100,10,0.25,0.0,1.0,,,G1.txt,99.04507914659325,99.31176875430144,11513.0,11544.0,70.64766960144043,1.2716295719146729
2,2,100,10,0.25,0.0,1.5,,,G1.txt,99.17842395044735,99.56125258086718,11528.5,11573.0,77.14748077392578,1.3111083507537842
2,2,100,10,0.25,0.0,2.0,,,G1.txt,99.14057123193393,99.44941500344116,11524.1,11560.0,77.7598690032959,1.3723604679107666
2,2,100,10,0.25,0.1,1.0,,,G1.txt,99.15003441156229,99.52684101858225,11525.2,11569.0,74.75945281982422,1.3946685791015625
2,2,100,10,0.25,0.1,1.5,,,G1.txt,99.17326221610462,99.41500344115623,11527.9,11556.0,76.42375602722169,1.3427913188934326
2,2,100,10,0.25,0.1,2.0,,,G1.txt,99.14487267721955,99.40640055058499,11524.6,11555.0,74.37809295654297,1.300642490386963
2,2,100,10,0.25,0.2,1.0,,,G1.txt,99.15003441156229,99.31176875430144,11525.2,11544.0,75.58151893615722,0.5530147552490234
2,2,100,10,0.25,0.2,1.5,,,G1.txt,99.10271851342051,99.41500344115623,11519.7,11556.0,72.8611270904541,1.280348300933838
2,2,100,10,0.25,0.2,2.0,,,G1.txt,99.27047487955953,99.6214728148658,11539.2,11580.0,73.40441551208497,1.3338525295257568
2,2,100,10,0.5,0.0,1.0,,,G1.txt,97.83465244322092,98.33964211975224,11372.3,11431.0,67.39993629455566,1.2017803192138672
2,2,100,10,0.5,0.0,1.5,,,G1.txt,97.79163799036476,98.1417756366139,11367.3,11408.0,75.8978500366211,1.2556421756744385
2,2,100,10,0.5,0.0,2.0,,,G1.txt,97.95337233310393,98.40846524432209,11386.1,11439.0,71.08360748291015,1.2612969875335693
2,2,100,10,0.5,0.1,1.0,,,G1.txt,97.9929456297316,98.5719201651755,11390.7,11458.0,71.12879066467285,1.227346658706665
2,2,100,10,0.5,0.1,1.5,,,G1.txt,98.02477632484515,98.63214039917412,11394.4,11465.0,68.65546226501465,1.3358697891235352
2,2,100,10,0.5,0.1,2.0,,,G1.txt,97.97660013764624,98.58052305574672,11388.8,11459.0,73.60550689697266,1.2914152145385742
2,2,100,10,0.5,0.2,1.0,,,G1.txt,97.93788713007571,98.32243633860978,11384.3,11429.0,66.87496948242188,1.1435062885284424
2,2,100,10,0.5,0.2,1.5,,,G1.txt,98.08843771507226,98.51169993117688,11401.8,11451.0,77.03129196166992,1.308272123336792
2,2,100,10,0.5,0.2,2.0,,,G1.txt,98.16672401927048,98.66655196145905,11410.9,11469.0,74.94193572998047,1.274005651473999
2,2,100,10,0.0,0.0,1.0,,,G22.txt,98.60917733363276,98.89961823489782,13173.2,13212.0,104.78753280639648,1.8129312992095947
2,2,100,10,0.0,0.0,1.5,,,G22.txt,98.75888913840856,99.01938767871847,13193.2,13228.0,112.67490768432617,1.7395262718200684
2,2,100,10,0.0,0.0,2.0,,,G22.txt,98.7543977842653,98.9145894153754,13192.6,13214.0,112.79818878173828,1.8272314071655273
2,2,100,10,0.0,0.1,1.0,,,G22.txt,98.79931132569803,99.43109514185194,13198.6,13283.0,105.83669967651367,1.678938627243042
2,2,100,10,0.0,0.1,1.5,,,G22.txt,98.68478179504454,98.8472191032263,13183.3,13205.0,114.10399475097657,1.819242000579834
2,2,100,10,0.0,0.1,2.0,,,G22.txt,98.75664346133692,99.20652743468823,13192.9,13253.0,106.22222137451172,1.745189905166626
2,2,100,10,0.0,0.2,1.0,,,G22.txt,98.74840931207426,99.10172917134516,13191.8,13239.0,107.96951370239258,1.777712345123291
2,2,100,10,0.0,0.2,1.5,,,G22.txt,98.66232502432817,99.25144097612096,13180.3,13259.0,113.61597061157227,1.8649463653564453
2,2,100,10,0.0,0.2,2.0,,,G22.txt,98.7431693989071,98.9969309080021,13191.1,13225.0,111.83930206298828,1.8359153270721436
2,2,100,10,0.25,0.0,1.0,,,G22.txt,98.69825585747436,99.04933003967363,13185.1,13232.0,99.23604431152344,1.7100703716278076
2,2,100,10,0.25,0.0,1.5,,,G22.txt,98.6683134965192,99.09424358110637,13181.1,13238.0,112.74130096435547,1.8547298908233643
2,2,100,10,0.25,0.0,2.0,,,G22.txt,98.62639419118197,98.78733438131597,13175.5,13197.0,108.12859497070312,1.7603530883789062
