Gset,number of edges,edge value,edge type,best-known value,mean_cut_value,max_cut_value,min_cut_value,std_cut,n_rnd,I0_min,I0_max,ratio of mean/best,ratio of max/best,1 annealing_time [ms],Total time [s],mean_range,stall_prop,l_scale,d_scale,n_scale
G1,800,unipolar,random,11624,5761.7,11543,-52,6056.2382172801335,4.656917354244709,0.01448361,1.448361,49.567274604267034,99.30316586373021,72.9322265625,1.249837875366211,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11388.8,11416,11342,25.476786819900713,4.656917354244709,0.01448361,1.448361,97.97660013764624,98.21059876118376,80.70956726074219,1.180201530456543,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11398.9,11469,11347,40.489916440187095,4.656917354244709,0.01448361,1.448361,98.06348933241568,98.66655196145905,72.80978469848633,1.3316137790679932,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11388.9,11453,11311,35.20874260117159,4.656917354244709,0.01448361,1.448361,97.97746042670337,98.52890571231934,83.09779586791993,1.3231182098388672,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11403.5,11495,11341,43.71435055498874,4.656917354244709,0.01448361,1.448361,98.10306262904336,98.89022711631108,106.68477020263671,1.5458741188049316,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11416.3,11489,11359,43.346280117214214,4.656917354244709,0.01448361,1.448361,98.21317962835512,98.83860977288369,130.5455680847168,1.969377040863037,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11416.1,11487,11355,42.88602465968501,4.656917354244709,0.01448361,1.448361,98.21145905024088,98.82140399174122,122.02887763977051,1.8296291828155518,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11416.0,11470,11344,38.247730506382844,4.656917354244709,0.01448361,1.448361,98.21059876118376,98.67515485203029,123.96706314086914,1.884944200515747,4,0.5,0.1,0.1,0.3
G55,5000,unipolar,random,10299,9771.6,9835,9709,46.85011561707541,1.4637052035839557,0.04608098,4.608098,94.8791144771337,95.49470822409943,1948.6878753662108,22.074181079864502,4,0.5,0.1,0.1,0.3
G55,5000,unipolar,random,10299,9790.0,9837,9739,32.903900478008175,1.4637052035839557,0.04608098,4.608098,95.05777259928148,95.51412758520244,2169.1112670898438,24.336883306503296,4,0.5,0.1,0.1,0.3
G1,800,unipolar,random,11624,11416.5,11512,11375,39.13296422313149,4.656917354244709,0.01448361,1.448361,98.21490020646938,99.03647625602203,149.36007080078124,2.2373225688934326,4,0.5,0.1,0.1,0.3
